ID,SPEAKER,CONVERSATION,,CATALAN,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL)
124,PC,PC Progress Complete,,"Obre't, sèsam!","Sésame, ouvre-toi !","Sesam, öffne dich!","¡Ábrete, sésamo!","Abre-te, sésamo!","Открывайся, сезам!",開けゴマー！,열려라 참깨!,芝麻开门！,芝麻開門！
125,PC,PC Progress Complete,,Bona sort.,Bonne chance.,Viel Glück.,Buena suerte.,Boa sorte.,Удачи там.,幸運を祈るわ。,행운을 빌게요.,祝你好运。,祝你好運。
126,PC,PC Progress Complete,,La necessitaràs.,Vous allez en avoir besoin.,Du wirst es brauchen.,La vas a necesitar.,Você vai precisar.,Она тебе понадобится.,きっと運が必要になるから。,이게 필요할 거예요.,你会需要运气的。,你會需要運氣的。
127,Rebecca Brown,Shop Quest 1 Begin,,Carai!! No dispari's.,Aïe ! Ne tire pas.,Huch!! Nicht schießen.,¡¡Ostras!! No dispares.,Eita!!! Não atire.,Ай! Не стреляй!,きゃっ！！撃たないで。,히익!! 쏘지 마세요!,哎呀！别开枪。,哎呀！別開槍。
128,Rebecca Brown,Shop Quest 1 Begin,,Allò és un gat amb un vestit robòtic??,C'est un chat dans une combinaison de robot ?,Ist das eine Katze in einem Roboteranzug?!,¿¿Eso es un gato con un traje robótico??,Uma gata num traje de robô???,"Ты что, кошка в боевом робокостюме?",って、ネコが...バトルスーツを？？,로봇 슈트를 탄 고양이라고??,那是个穿着机甲的猫？？,那是個穿著機甲的貓？？
129,Rebecca Brown,Shop Quest 1 Begin,,"Bé, jo tampoc hauria de dir gaire...","Enfin, je suis mal placée pour dire ça...",Das muss ich wohl gerade sagen ...,Aunque mira quién fue a hablar...,"Bem, quem sou eu para falar...","Ну да, чья бы корова мычала...",なら...あたしが話そっか...,"뭐, 내가 놀랄 일은 아니지...",可能也轮不到我评头论足吧...,可能也輪不到我講話吧...
130,Rebecca Brown,Shop Quest 1 Begin,,ATXIM!,ATCHOUM !,HATSCHI!,¡ACHÍS!,ATCHIM!,АПЧХИ!,ヘックショイ！,크흠!,阿嚏！,阿嚏！
131,Rebecca Brown,Shop Quest 1 Begin,,"Escolta, potser ens podem ajudar mútuament..","Écoute, peut-être qu'on peut s'entraider...","Hör mal, vielleicht können wir uns gegenseitig helfen ...","Oye, quizás podamos ayudarnos mutuamente...","Escute, acho que podemos entrar em um acordo...","Слушай, может, мы сможем друг другу помочь?",聞いて、ここは助け合いましょう...,"듣거라, 어쩌면 우리가 서로 도울 수 있을지도 모르겠구나...",你听我说，咱俩或许能互相帮助...,你聽我說，我們也許能互相幫助...
132,Rebecca Brown,Shop Quest 1 Begin,,Puc modificar la teva arma però necessito més fusibles.,"Je peux améliorer ton arme, mais j'ai besoin de fusibles.","Ich kann deine Waffe modifizieren, doch mir fehlen Sicherungen.","Puedo modificar tu arma, pero tengo pocos fusibles.","Eu posso modificar sua arma, mas não tenho as peças necessárias.","Я могла бы улучшить твое оружие, но мне понадобятся запчасти.",あなたの銃を改造できるけど、 今はヒューズが足りないの。,나는 네 총을 개조할 수 있지만 퓨즈가 부족하단다.,我能修改你的武器，但手头引线不太够用。,我能修改你的武器，但保險絲不太夠用。
133,Rebecca Brown,Shop Quest 1 Begin,,Porta'm 7 cartutxos i aleshores en parlarem.,Rapporte-moi 7 cartouches et on pourra faire affaire.,"Bring mir 7 Kassetten, dann können wir über Verbesserungen sprechen.",Tráeme 7 cartuchos y hablaremos de posibles mejoras.,Me traga 7 cartuchos para que eu possa fazer umas melhorias.,"Принеси 7 картриджей, и я посмотрю, что тут можно придумать.",カートリッジを7個持ってきたら、 スーツを強化してあげるわ。,7개의 카트리지를 가져오면 업그레이드를 논해보자꾸나.,给我带来7个弹药匣，咱们就能谈谈升级的事儿。,幫我拿來7個彈藥匣，我們就能談談升級的事情。
134,Gary,Shop Quest 1 Begin,,"Kiki, em fa l'efecte que se m'està anant l'olla...","Kiki, je crois que je ne m'en sortirai pas...","Ich befürchte, ich verliere den Bezug zur Realität, Kiki ...","Kiki, me temo que estoy perdiendo la chaveta...","Kiki, acho que estou ficando lelé da cuca...","Кики, боюсь, эта планета плохо на меня влияет.",キキ、わたしは幻覚を見ているのか...,"나비야, 내 몸 상태가 점점 나빠지는 거 같아...",琪琪，我可能坚持不了就要疯了...,琪琪，我可能堅持不了就要瘋了...
135,Gary,Shop Quest 1 Begin,,Val més que acabem aquesta missió abans que em posi a imitar una granota.,Il faut qu'on finisse cette mission avant que je passe l'arme à gauche.,"Wir sollten diese Mission lieber abschließen, bevor ich noch zu quaken beginne.",Más vale que terminemos esta misión antes de que salga rana.,Melhor terminarmos essa missão antes que você comece a falar também.,"Нужно побыстрее разобраться с миссией, пока я тут окончательно не тронулся.",正気をうしなう前に、任務を 終わらせてしまわねばならん。,내가 쓰러지기 전에 어서 이 임무를 완수하는 게 좋겠어.,在我彻底丧失理智之前，咱们赶快完成任务吧。,在我徹底喪失理智之前，我們趕快完成任務吧。
136,Rebecca Brown,Shop Quest 1 Progress,,"Molt bé mixeta, a veure el teu progrés.","Allez, minette, voyons où tu en es.","Also gut, Kätzchen. Sehen wir uns mal deinen Fortschritt an.","Vale, gatita, echemos un vistazo a tus progresos.","Ok, bichana, vamos dar uma olhada no seu progresso.","Ну давай посмотрим, что нам киса принесла...",さーて、ネコちゃん。 進展はあったかしら？,"좋아, 나비야. 얼마나 모아왔는지 보자꾸나.",好了小猫咪，咱们看看你的进度。,好了小貓咪，我們看看你的進度。
137,Rebecca Brown,Shop Quest 1 Progress,,Hmm... fins ara has aconseguit [VARIABLE] cartutxos.,Hmm... Tu as trouvé [VARIABLE] cartouches.,Hmm ... du hast bisher [VARIABLE] Kassetten gefunden.,Mmm... De momento has encontrado [VARIABLE] cartuchos.,Hum... até agora você achou [VARIABLE] cartuchos.,"Так, картриджей ты нашла... [VARIABLE].",ふーん...カートリッジを[VARIABLE]個 見つけたみたいね。,흠... 카트리지를 [VARIABLE]개 찾았구나.,唔...截至目前，你找到了[VARIABLE]个弹药匣。,嗯...截至目前，你找到了[VARIABLE]個彈藥匣。
138,Rebecca Brown,Shop Quest 1 Progress,,Podré augmentar el teu potencial quan aconsegueixis [VARIABLE] més.,Je pourrai t'aider quand tu en auras trouvé [VARIABLE] de plus.,"Ich kann dir mehr Kraft geben, wenn du [VARIABLE] weitere findest.",Puedo aumentar tu potencia cuando encuentres [VARIABLE] más.,Só vou poder te ajudar quando você achar mais [VARIABLE].,"Найди еще [VARIABLE], и я смогу тебе помочь.",あと[VARIABLE]個見つけたら、 スーツを強化してあげるわ。,[VARIABLE]개를 더 찾아오면 업그레이드해줄 수 있단다.,再找[VARIABLE]个我就能给你升级了。,再找[VARIABLE]個我就能給你升級了。
139,Rebecca Brown,Shop Quest 1 Progress,,Bona sort!,Bonne chance !,Viel Glück!,¡Suerte!,Boa sorte!,Удачи!,がんばって！,행운을 빌게!,祝好运哦！,祝好運哦！
140,Rebecca Brown,Shop Quest 1 Progress,,Apa! Tens [VARIABLE] cartutxos! Bona gata!,Wouah ! Tu as trouvé [VARIABLE] cartouches ! Bien joué !,Oh! Du hast [VARIABLE] Kassetten gefunden! Braves Kätzchen!,¡Vaya! ¡Tienes [VARIABLE] cartuchos! ¡Gatita buena!,Opa! Você achou [VARIABLE] cartuchos! Boa menina!,Ого! [VARIABLE] картриджей! Хорошая котенька!,すごッ！カートリッジが[VARIABLE]個ある！ やったわね、ネコちゃん！,오오! 카트리지를 [VARIABLE]개 구했구나! 잘했어 나비야!,哇哦！你获得了[VARIABLE]个弹药匣!乖猫咪！,哇哦！你獲得了[VARIABLE]個彈藥匣!乖貓咪！
141,Rebecca Brown,Shop Quest 1 Progress,,Amb això ja en tinc prou!,Ça devrait marcher !,Das sollte reichen!,¡Con esto será suficiente!,Agora sim!,Должно хватить.,これで強化できるはずよ！,이거면 될 거다!,这样就差不多了！,這樣就差不多了！
142,Rebecca Brown,Shop Quest 1 Progress,,Bé... encara puc fer una millora més.,Je vais pouvoir procéder à une amélioration supplémentaire.,"Also ... es gibt noch eine Verbesserung, die ich vornehmen kann.",A ver... Puedo hacer una mejora más.,Então... tem mais uma melhoria que eu posso fazer.,Так... Вообще я могу еще кое-что сделать.,それで...実はもう1回強化できるの。,업그레이드를 할 방법이 하나 더 있단다.,嗯...我还能给你再升级一处。,嗯...我還能給你再升級一處。
143,Rebecca Brown,Shop Quest 1 Progress,,Torna quan tinguis els 14 cartutxos!,Reviens me voir quand tu auras trouvé les 14 cartouches !,"Komm wieder, wenn du alle 14 Kassetten gefunden hast.",¡Vuelve cuando hayas encontrado los 14 cartuchos!,Volte quando achar todos os 14 cartuchos!,"Приходи, если отыщешь все 14 картриджей!",14個のカートリッジをすべて集めたら、戻ってきて。,14개의 카트리지를 찾아서 돌아오거라!,找齐所有14个弹药匣再来找我吧！,找齊所有14個彈藥匣再來找我吧！
144,Rebecca Brown,Shop Quest 2 Progress,,Apa! Tens tots els cartutxos! Molt bé mixeta!,Wouah ! Tu as trouvé toutes les cartouches ! Bien joué !,Oh! Du hast alle Kassetten! Braves Kätzchen!,¡Vaya! ¡Tienes todos los cartuchos! ¡Gatita buena!,Opa! Você achou todos os cartuchos! Boa menina!,Ого! Ты нашла все картриджи! Умница!,すごッ！カートリッジが全部ある！ やったわね、ネコちゃん！,우와! 카트리지를 다 모았구나! 잘했어 나비야!,哇哦！你找齐了所有的弹药匣！乖猫咪！,哇哦！你找齊了所有的彈藥匣！乖貓咪！
145,Rebecca Brown,Shop Quest 2 Progress,,Ara estàs completament potenciada! Endavant Kiki!,"Tu es vraiment impressionnante ! Maintenant, à toi de jouer !",Du bist jetzt vollständig ausgerüstet! Mach sie alle!,¡Estás al máximo de potencia! ¡A por ellos!,Agora você está com tudo! Pode ir!,"Все, сильнее я тебя уже не сделаю. Порви их на тряпки!",今のあなたは最強のネコちゃんよ！ あいつらをぶっ飛ばしちゃって！,이제 할 수 있는 업그레이드는 다 했단다! 이제 가서 시험해보거라!,你完成了所有升级！去大展拳脚吧！,你完成了所有升級！去大展拳腳吧！
146,Gary,Aqueducts Begin,,"D'acord. Sembla que ara ets a l'aqüeducte, Kiki.","Bon. Tu as atteint les canalisations, Kiki.","Okay. Du hast es zu den Aquädukten geschafft, Kiki.","Vale. Has llegado a los acueductos, Kiki.","Ok. Você chegou nos Aquedutos, Kiki.","Так, Кики. Ты добралась до Акведука.",よし、アクアダクトへやってきたぞ。,"좋아. 송수로에 도착했구나, 나비야.",好嘞。你到了大渡槽，琪琪。,好耶。你到了大溝渠，琪琪。
147,Gary,Aqueducts Begin,,Vas molt bé! Ara és hora de drenar aquesta aigua...,"Tu t'en sors bien. Maintenant, il faut vider l'eau...",Das war soweit ganz gut. Nun müssen wir dieses Wasser ableiten ...,¡Por ahora vas muy bien! Ahora hay que drenar esta agua...,Está indo tudo bem até agora. Precisamos drenar essa água...,Пока все идет довольно неплохо! Теперь надо осушить воду...,今のところは順調だ！ さてと、ここの水を抜くには...,계속 잘하고 있어! 이제 이 물을 빼내려면...,截至目前，干得不错！现在要把水排干...,截至目前，做得不錯！現在要把水排乾...
148,Gary,Aqueducts Begin,,Bé... si drenes l'aigua no hauràs de mullar-te més.,Alors... Évacue toute cette eau et tu n'auras plus besoin de te mouiller.,"Nun ... Lass das Wasser abfließen, dann bleibst du endlich trocken.",Bueno... Drena el agua y por fin podrás estar seca.,Bem... Drene a água e você finalmente poderá ficar sequinha.,Как бы... Осушим воду - и мокнуть больше не надо будет.,その...水を抜けばいい。そしたら おまえは二度とぬれない。,음... 물을 빼내면 드디어 건조하게 있을 수 있을 거야.,唔...先把水排干你才能保持身上干燥。,嗯...先把水排乾你才能保持身體乾燥。
149,Gary,Aqueducts Begin,,Has de trobar tres desguassos.,Tu vas devoir trouver trois tuyaux.,Du musst drei Abläufe finden.,Tienes que encontrar tres desagües.,São três ralos que você precisa achar.,Тут где-то должны быть три водоотвода.,排水管はぜんぶで3つ。,찾아야 할 배수구가 세 개 있어.,你需要找到三个排水口。,你需要找到三個排水口。
150,Gary,Aqueducts Begin,,Estan connectats al passadís d'aquí avall. Fàcil.,Ils doivent être reliés au couloir en-dessous. C'est facile.,Sie sollten mit dem Korridor unten verbunden sein. Ganz einfach.,Deberían estar conectados al corredor de abajo. Es fácil.,Eles devem estar conectados ao corredor abaixo. Moleza.,И они должны соединяться с коридором внизу. Ничего сложного.,いずれも下の通路につながっている。 ちょろいもんだ。,아래 복도에 연결돼있을 거야. 쉬워.,它们应该都连着下面的走廊。轻而易举。,它們應該都連著下面的走廊。輕而易舉。
151,Gary,Aqueducts Begin,,Aix. Mai se si m'escoltes o no.,Pff. Je ne sais jamais si tu m'écoutes.,"Seufz. Ich weiß nie, ob du zuhörst.",Ay. Nunca sé si me estás escuchando.,Puxa. Eu nunca sei se você está me ouvindo.,"Эх. Интересно, ты меня понимаешь или все-таки нет?",やれやれ...ちゃんと話を 聞いてるんだかな...,하아... 네가 잘 듣고 있나 모르겠네.,唉。我总是搞不清你听没听懂。,唉。我總是搞不清你聽沒聽懂。
152,Gary,Water Drain Tutorial,,Ei Kiki... Recordes els desguassos que he mencionat?,"Hé, Kiki... Tu te souviens des tuyaux dont je t'ai parlé ?","Hey Kiki ... Erinnerst du dich an die Abläufe, von denen ich sprach?","Oye, Kiki... ¿Te acuerdas de esos desagües que te comenté?","Ei, Kiki... Lembra dos ralos que eu mencionei?","Эй, Кики... Помнишь, я про водоотводы говорил?",やあ、キキ...排水管があると 言ったろう？,"저기, 나비야... 배수구를 찾아야 한다는 거 안 잊었지?",嘿琪琪...还记得我提到过的排水口吗？,嘿琪琪...還記得我提到過的排水口嗎？
153,Gary,Water Drain Tutorial,,Doncs...,Bref...,Wie dem auch sei ...,Bueno...,Enfim...,"Вон, смотри...",とにかくまあ...,어쨌든...,反正...,反正...
154,Gary,Water Drain Tutorial,,Aquesta cinta rodant per gats hauria de drenar el nivell superior.,Ce tapis roulant devrait te permettre de vider le niveau supérieur.,Diese Tretmühle in Katzengröße sollte die obere Etage entwässern.,Esa cinta de correr para gatos debería drenar el nivel superior.,Aquela esteira do seu tamanho deve drenar o último nível.,Эта беговая дорожка для котов осушает верхний уровень.,あのネコちゃんサイズのルームランナーで、上層階を排水できるはずだ。,가운데에 있는 고양이가 올라갈 정도 크기의 쳇바퀴에서 달리면 위쪽 물이 빠질 거야.,那个猫咪大小的跑步机应该能把顶层排干。,那個貓咪大小的跑步機應該能把頂層排乾。
155,Gary,Drain Results,,"Ara, ara! Una menys, queden dues!","C'est ça ! Et d'un, plus que deux !","Gut so! Einer ist geschafft, bleiben noch zwei!","¡Eso es! ¡Uno menos, quedan dos!","Isso aí! Um já foi, faltam dois!",Успех! Осталось еще две.,やったぞ！残り2つだ！,"됐어! 하나 끝났고, 이제 두 개 남았네!",干得好！一个搞定了，还剩两个！,做得好！一個搞定了，還剩兩個！
156,Gary,Drain Results,,Canvi i fora.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,完毕。,完畢。
157,Gary,Drain Results,,Només queda un desguàs!,Plus qu'un tuyau !,Es ist noch ein Abfluss übrig!,¡Queda un desagüe más!,Só falta um ralo!,Еще одна осталась!,排水管は残り1つだ！,이제 하나 남았어!,还剩一个排水口！,還剩一個排水口！
158,Gary,Drain Results,,No et rendeixis Kiki! Ho aconseguirem!,"Ne baisse pas les pattes, Kiki ! Tu peux le faire !","Bleib am Ball, Kiki! Du schaffst das!","¡No pierdas la motivación, Kiki! ¡Está casi hecho!","Não perca o ânimo, Kiki! Você consegue!","Давай, Кики, у тебя получится! Обязательно получится!",気を抜くなよ、キキ！ おまえならできる！,"계속해, 나비야! 얼마 안 남았어!",继续努力呀，琪琪！你没问题的！,繼續努力呀，琪琪！你沒問題的！
159,Gary,Drain Results,,Aquest era el darrer! Ben fet Kiki!,"C'est le dernier ! Bravo, Kiki !","Das ist der Letzte! Gut so, Kiki!","¡Ese es el último! ¡Así se hace, Kiki!","Esse é o último! Mandou bem, Kiki!","Последняя! Умница, Кики!",そいつで最後だ！よくやったぞ、キキ！,"이게 마지막 배수구야! 잘했어, 나비야!",最后一个搞定了！真棒呀，琪琪！,最後一個搞定了！真棒呀，琪琪！
160,Gary,Drain Results,,Hora de tornar al Nexe.,Tu peux retourner au centre de contrôle.,"Es ist Zeit, zum Nexus zurückzukehren.",Es hora de volver al nexo.,Hora de voltar para o Nexus.,Теперь нужно вернуться в Нексус.,さあ、ネクサスへ戻ろう。,이제 넥서스로 돌아가자.,该回新星中心了。,該回新星中心了。
161,Gary,Boss 2 Intro,,Kiki... m'arriben uns senyals estranys. Que has arribat a un carreró sense sortida?,Kiki... Je reçois un signal étrange. C'est une voie sans issue ?,Kiki ... Ich erhalte einen seltsamen Wert. Ist das eine Sackgasse?,Kiki... Estoy recibiendo señales extrañas. ¿Esto es un callejón sin salida?,Kiki... Estou detectando sinais estranhos. Entramos em um beco sem saída?,"Кики... На радаре что-то странное. Там что, тупик?",キキ...数値がヘンだぞ。行き止まりか？,나비야... 이상한 신호가 잡히는데. 막다른 길이야?,琪琪...我这儿收到了个奇怪的示数。前面难道是死胡同？,琪琪...我這裡收到了個奇怪的顯示。前面難道是死巷？
162,Mouse,Boss 2 Intro,,Crii criii!,"Couic, couic !","Quiek, quiek!","¡Iiiik, iiiik!",Squik squik!,Пи-пи-пи!,チューチューチュー！,찍 찍!,吱吱吱吱！,吱吱吱吱！
163,Gary,Boss 2 Intro,,Oh! Un altre ratolí? Quin fàstic!,Oh ! Une autre souris ? Beurk !,Oh! Ist es wieder eine Maus? Ekelhaft!,¡Oh! ¿Otro ratón? ¡Qué asco!,Ah! Outro rato? Éca!,"Ой! Там мыши? Фу, мерзость какая!",ぬおっ！またネズミか？汚らわしい！,오! 저번이랑 다른 쥐인가? 기분 나쁘게 생겼네!,噢！又是一只老鼠？真恶心！,噢！又是一隻老鼠？真噁心！
164,Mouse,Boss 2 Intro,,Hahaha!,Hahaha !,Hahaha!,"¡Ja, ja, ja!",Hahaha!,Ха-ха-ха!,ヌハハ！,하하하!,哈哈哈！,哈哈哈！
165,Gary,Boss 2 Intro,,I ara torno a tenir al·lucinacions?,Encore une hallucination ?,Bilde ich mir wieder was ein?,¿Estoy teniendo alucinaciones otra vez?,Será que estou delirando outra vez?,Опять мне всякая ерунда мерещится.,また幻を見ているのか？,내가 또 헛것을 보는 건가?,是我又出现幻觉了吗？,是我又出現幻覺了嗎？
166,Gary,Boss 2 Intro,,Kiki! A l'atac!,Kiki ! Tue-la !,Kiki! Merze sie aus!,¡Kiki! ¡Extermina!,Kiki! Exterminar!,Кики! Убей мышь!,キキ！駆除するんだ！,나비야! 없애버려!,琪琪！清除害虫！,琪琪！清除害蟲！
167,Gary,Boss 2 Outro,,Uf.,Ouf.,Puh.,Fiu.,Ufa.,Уф-ф.,ふう。,휴.,咻~,咻~
168,Gary,Boss 2 Outro,,Kiki! Ho has fet molt bé!,Kiki ! Tu as été impressionnante !,Kiki! Das hast du toll gemacht!,¡Kiki! ¡Lo has hecho de maravilla!,Kiki! Você se saiu muito bem!,Кики! Ты у меня такое солнышко!,キキ！よく戦ったぞ！,나비야! 잘했어!,琪琪！刚才干得真棒！,琪琪！剛才做得真棒！
169,Gary,Boss 2 Outro,,Afegiré aquest problema de rosegadors a l'informe.,Mais je vais consigner ce problème de rongeurs dans mon rapport.,Und dieses Rattenproblem werde ich definitiv in meinem Bericht erwähnen.,Y desde luego voy a incluir el tema de las ratas en mi informe.,E essa infestação de ratos com certeza será mencionada no meu relatório.,Обязательно затребую у командования взвод дератизаторов.,ネズミの件は、わたしから必ず 報告しておく。,이 쥐 문제는 보고서에 꼭 적어야겠어.,我必须把这鼠患写进报告里。,我必須把這鼠患寫進報告裡。
170,Gary,Boss 2 Outro,,El darrer desguàs hauria de ser tot seguit. Som-hi!,Continue. Tu ne dois plus être loin du dernier tuyau !,Lass uns aufbrechen. Der letzte Abfluss liegt vor dir!,En marcha. ¡El último desagüe estará ahí delante!,Vamos continuar. O último ralo deve estar à frente!,"Все, идем дальше. Остался последний водоотвод.",先へ進もう。最後の排水管は 目のまえだ！,이동하자. 마지막 배수구가 바로 저 앞이야!,咱们继续吧。最后一个排水口就在前面啦！,我們繼續吧。最後一個排水口就在前面啦！
171,Gary,Heater Core Begin,,Ei Kiki... Sembla que has trobat el Nucli de l'escalfador.,"Hé, Kiki... On dirait que tu as trouvé le module de chauffage.","Hey Kiki ... Sieht aus, als hättest du den Wärmetauscher gefunden.","Oye, Kiki... Parece que has encontrado el núcleo calefactor.","Ei, Kiki... Parece que você achou o Núcleo de Calefação.","Эй, Кики... Похоже, это Нагревательное ядро.",やあ、キキ...どうやら加熱炉を 見つけたか。,"저기, 나비야... 히터 코어에 도착했구나.",嘿琪琪...似乎你找到了加热核心。,嘿琪琪...似乎你找到了加熱核心。
172,Gary,Heater Core Begin,,A aquesta zona ... Emm...,Cette zone est... Euh...,Dieses Gebiet ist ... äh ...,Esta área es... Mmm...,Esta área está... Hummm...,И тут... Очень...,このエリアは...その...,여긴... 어...,这片区域...唔...,這片區域...嗯...
173,Gary,Heater Core Begin,,Hi fa molta calor!,Vraiment chaude !,Ziemlich heiß!,¡Muy calurosa!,Quente à beça!,Жарко.,すっごく暑いぞ！,정말 뜨겁구나!,好热呀！,好熱呀！
174,Gary,Heater Core Begin,,Serà millor que no surtis del vestit robòtic aquí.,Il faut que tu restes dans ta combinaison pour l'instant.,Du bleibst fürs Erste lieber im Mech.,Será mejor que te quedes dentro del meca por ahora.,É melhor você ficar dentro da armadura robótica por enquanto.,"Не вылезай из костюма, хорошо?",しばらくスーツを脱ぐんじゃない。,"메크 안에만 있고 싶겠는걸, 나비야.",你可能一段时间都最好别脱机甲。,你可能一段時間都最好別脫機甲。
175,Gary,Heater Core Begin,,"No és segur que surtis amb tanta calor, entesos?","Cette chaleur, c'est trop dangereux.","Da draußen ist es nicht sicher für dich, okay?","Sería peligroso salir ahí fuera, ¿vale?","Não é seguro para você no lado de fora, ok?","Туда нельзя, шерстку подпалишь.",外はおまえには危険なんだ、いいな？,"밖에 나가면 위험할 거야, 알겠지?",外头不安全，懂不懂？,外面不安全，懂不懂？
176,Gary,Heater Core Begin,,"Kiki, quan es refredi una mica podràs sortir a jugar tot el que vulguis.","Kiki, dès que la température aura baissé, tu pourras sortir.","Sobald es abgekühlt ist, kannst du so viel spielen, wie du magst, Kiki.","Kiki, en cuanto la cosa se enfríe podrás jugar todo lo que quieras.","Kiki, depois que a temperatura baixar, você vai poder brincar à vontade.","Давай ты поиграешь, когда оно хотя бы чуть-чуть остынет, ладно?",あたりが冷えたら、好きなだけ 遊ぶといい。,"나비야, 일단 열을 식히면 원하는 만큼 놀 수 있을 거야.",琪琪，等冷却下来后，随便你怎么玩都行。,琪琪，等冷卻下來後，隨便你怎麼玩都行。
177,Gary,Heater Core Begin,,"Vés amb compte, mixeta...","Sois prudente, minette...","Pass auf dich auf, Kätzchen ...","Ten cuidado, gatita...","Vá com cuidado, bichana...","Береги себя, котейка...",気をつけるんだぞ、ネコちゃん...,"부디 몸조심해, 나비야...",注意安全，小猫咪...,注意安全，小貓咪...
178,Gary,Heater Core Begin,,Canvi i fora.,Terminé.,Ende und aus.,Cambio y corto.,"Câmbio, desligo.",Конец связи.,通信を終了する。,통신 끝.,完毕。,完畢。
179,Gary,Heater Core Flow Tutorial,,Hmm... sembla que el camí està blocat per lava...,Hmm... On dirait que ce passage est bloqué par de la lave...,"Hmm ... sieht aus, als würde Lava den Weg blockieren ...",Mmm... Parece que la lava cierra el paso...,Hum... parece que a lava bloqueou o caminho...,Так... Лава не дает нам пройти...,ふむ...マグマが道を ふさいでいる...,음... 이 길은 용암에 막힌 거 같네...,唔...似乎道路被岩浆阻挡了...,嗯...似乎道路被岩漿阻擋了...
180,Gary,Heater Core Flow Tutorial,,Hauràs de parar el fluxe de la lava d'alguna manera...,Il faut que tu trouves un moyen de l'arrêter...,Du musst irgendwie den Lavafluss stoppen ...,Tendrás que cortar el flujo de lava de alguna forma...,Você vai precisar deter o fluxo de lava de alguma forma...,Надо как-то решить эту проблему...,マグマをどうにか止めないと いかんが...,용암이 흐르는 걸 어떻게든 막아야 할 거 같아...,你得通过某种方法阻断岩浆...,你得通過某種方法阻斷岩漿...
181,Gary,Heater Core Flow Tutorial,,Segueix una mica a veure que trobes...,"Continue d'avancer, vois ce que tu peux trouver...","Geh weiter und schau, was du finden kannst ...","Sigue avanzando, a ver qué encuentras...",Continue em frente e veja o que encontra...,"Пойдем пока дальше, может, придет чего в голову...",ひとまず奥へと進んでみるか...,일단 앞으로 계속 가서 뭐가 있는지 확인해봐...,继续往前走，看看能找到什么吧...,繼續往前走，看看能找到什麼吧...
182,Gary,Heater Core Flow Tutorial,,Endavant Kiki!,"Je compte sur toi, Kiki !","Ich glaube an dich, Kiki!","¡Confío en ti, Kiki!","Eu acredito no seu potencial, Kiki!","Я в тебя верю, Кики!",信じているぞ、キキ！,"너만 믿고 있어, 나비야!",我相信你哦，琪琪！,我相信你哦，琪琪！
183,Hotboy1,Hotboy1 Begin,,INTRÚS. INTRÚS. Atura't ara mateix!,INTRUSION. INTRUSION. Arrêtez-vous tout de suite !,EINDRINGLING. EINDRINGLING. Sofort stehenbleiben!,INTRUSO. INTRUSO. ¡Alto ahí!,INVASOR. INVASOR. Alto lá!,НАРУШИТЕЛЬ. НАРУШИТЕЛЬ. Немедленно остановитесь!,侵入者ケイホー。侵入者ケイホー。 そこでストォォォップ！,침입자. 침입자. 당장 멈춰라!,入侵者。入侵者。不许动！,入侵者。入侵者。不許動！
184,Hotboy1,Hotboy1 Begin,,Què fa aquesta olor?,Quelle est cette odeur ?,Was ist das für ein Geruch?,¿A qué huele?,Que cheiro é esse?,Что это пахнет?,このニオイは何だぁ？,이 냄새는 뭐지?,什么味道？,什麼味道？
185,Hotboy1,Hotboy1 Begin,,BUFA! Que hi ha un gat aquí dins!?,OUPS ! C'est un petit chat qui est là-dedans ?,HUCH! Ist da etwa ein kleines Kätzchen drin?!,¡AH! ¡¿Hay una gatita ahí dentro?!,OH! Tem um gatinho aqui dentro?!,"ОХ! Там что, китинька?",ぐふわっ！それってネコが 入ってんのかぁ！？,으윽! 저 안에 고양이가 있는 건가!?,哦呦！那里头是只小猫咪吗？！,哦呦！那裡頭是隻小貓咪嗎？！
186,Hotboy1,Hotboy1 Begin,,No n'he vist cap en anys!!!,Ça fait une éternité que je n'en ai pas vu !,Ich habe seit Jahren keines mehr gesehen!!!,¡¡Llevo años sin ver una!!,Faz tanto tempo que eu não vejo um gatinho!!!,"Боже, сто лет котейку не видел.",数年ぶりに見たっての！！！,몇 년간 본 적이 없는데!!!,好几年没见过这玩意儿了！！！,好幾年沒見過這東西了！！！
187,Hotboy1,Hotboy1 Begin,,Et fondré com si fossis un gelat pelut!!!,Tu vas fondre comme un esquimau poilu !,Ich lasse dich schmelzen wie ein flauschiges Eis am Stiel!!!,¡¡Voy a derretirte como si fueras un polo peludito!,Vou te derreter como um pudim peludinho!,"Сейчас я тебя запеку, как мясо по-французски!",もふもふの氷みたいに 溶かしてやらあ！！！,털복숭이 아이스캔디처럼 널 녹여주마!!!,我要把你熔了，像一根毛茸茸的冰棍儿一样！！！,我要把你熔了，像一根毛茸茸的冰棒一樣！！！
188,Hotboy1,Hotboy1 End,,Ugghh...,Argh...,Uff ...,Uffff...,Urgggghh...,Уф-ф-ф...,ぬぐぐぐ...,으으으윽...,呃啊啊啊...,呃啊啊啊...
